Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_get_type	asset_get_type	function	asset_get_type(name_or_ref);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_type.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_any_tag	asset_has_any_tag	function	asset_has_any_tag(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_any_tag.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_has_tags	asset_has_tags	function	asset_has_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_has_tags.htm
Asset_Management.Assets_And_Tags.asset_particlesystem	asset_particlesystem	constant	asset_particlesystem	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_add_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.asset_remove_tags	asset_remove_tags	function	asset_remove_tags(name_or_index, tags, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_remove_tags.htm
Asset_Management.Assets_And_Tags.tag_get_asset_ids	tag_get_asset_ids	function	tag_get_asset_ids(tags, asset_type);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/tag_get_asset_ids.htm
Asset_Management.Assets_And_Tags.tag_get_asset_ids	tag_get_asset_ids	function	tag_get_asset_ids(tags, asset_type);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/tag_get_asset_ids.htm
Asset_Management.Assets_And_Tags.tag_get_asset_ids	tag_get_asset_ids	function	tag_get_asset_ids(tags, asset_type);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/tag_get_asset_ids.htm
