Function	Ease of port	Library	Could No-op and game would run?	Could shim and game would run?
ord		String		
parameter_count		Windows		
parameter_string		Windows		
part_particles_create		Particles		TRUE
part_system_create		Particles		TRUE
part_system_depth		Particles	TRUE	
part_type_alpha2		Particles	TRUE	
part_type_alpha3		Particles	TRUE	
part_type_create		Particles	TRUE	
part_type_destroy		Particles	TRUE	
part_type_life		Particles	TRUE	
part_type_orientation		Particles	TRUE	
part_type_scale		Particles	TRUE	
part_type_sprite		Particles	TRUE	
place_free				
place_meeting				
point_direction				
point_distance				
power		Math		
random		Math		
random_get_seed		Math		
random_range		Math		
random_set_seed		Math		
randomize		Math		
read_byte		Net		
read_short		Net		
read_string		Net		
read_ubyte		Net		
read_uint		Net		
read_ushort		Net		
real		Math		
registry_exists_ext		Windows		
registry_read_real_ext		Windows		
registry_read_string_ext		Windows		
registry_set_root		Windows		
room_goto				
room_set_view				
round		Math		
screen_redraw				
screen_refresh				
screen_save				TRUE
screen_save_part				TRUE
script_execute			TRUE	
set_little_endian		Net		
set_little_endian_global		Net		
set_synchronization				
show_debug_message		Log	TRUE	
show_error		Log	TRUE	
show_menu_pos		WindowsGUI		
show_message		WindowsGUI	TRUE	
show_message_ext		WindowsGUI	TRUE	
show_question		WindowsGUI		TRUE
sign		Math		
sin		Math		
sleep				
socket_accept		Net		
socket_connecting		Net		
socket_destroy		Net		
socket_destroy_abortive		Net		
socket_error		Net		
socket_has_error		Net		
socket_receivebuffer_size		Net		
socket_remote_ip		Net		
socket_send		Net		
sound_add		Audio		
sound_global_volume		Audio		
sound_isplaying		Audio		
sound_loop		Audio		
sound_pan		Audio		
sound_play		Audio		
sound_stop		Audio		
sound_stop_all		Audio		
sound_volume		Audio		
splash_set_interrupt		WindowsGUI	TRUE	
splash_set_main		WindowsGUI	TRUE	
splash_show_web		WindowsGUI	TRUE	
sprite_add				
sprite_assign				
sprite_create_from_surface				
sprite_delete				
sprite_exists				
sprite_get_bbox_bottom				
sprite_get_bbox_left				
sprite_get_bbox_right				
sprite_get_bbox_top				
sprite_get_height				
sprite_get_number				
sprite_get_width				
sprite_get_xoffset				
sprite_get_yoffset				
sprite_replace				
sprite_set_offset				
sqr		Math		
sqrt		Math		
string		String		
string_char_at		String		
string_copy		String		
string_count		String		
string_delete		String		
string_digits		String		
string_height				TRUE
string_height_ext				TRUE
string_length		String		
string_lettersdigits		String		
string_lower		String		
string_pos		String		
string_replace		String		
string_replace_all		String		
string_width				TRUE
surface_create				
surface_free				
surface_reset_target				
surface_set_target				
tan		Math		
tcp_connect		Net		
tcp_eof		Net		
tcp_listen		Net		
tcp_receive		Net		
